page	filename	original_url
what-is-spydefi	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FUXIdoSwF7zJoA7hQ0NNS_2FBG3-3.png	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FUXIdoSwF7zJoA7hQ0NNS%2FBG3-3.png?alt=media&token=f3db8b80-2bea-454b-afdb-020bd4a634df
spydefi-for-projects/spydefi-trending	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FAYxNbaq95DJxYCE9awGk_2Fphoto_2025-10-03_2013.05.36.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FAYxNbaq95DJxYCE9awGk%2Fphoto_2025-10-03%2013.05.36.jpeg?alt=media&token=f0f7304d-1423-4a3d-af74-b961469f1da0
spydefi-for-projects/spydefi-buybot	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FnMAClzElywsceJnvgs2N_2Fphoto_2025-10-03_2013.10.56.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FnMAClzElywsceJnvgs2N%2Fphoto_2025-10-03%2013.10.56.jpeg?alt=media&token=1f908c3e-3f42-4a81-8b8b-6e29baceb839
spydefi-for-projects/spydefi-bot-ads-+-mass-dm	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FLqW07XWIvJQf6jV7ryMB_2Fphoto_2025-10-03_2013.18.53.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FLqW07XWIvJQf6jV7ryMB%2Fphoto_2025-10-03%2013.18.53.jpeg?alt=media&token=86ba5d41-b10a-4af9-b230-957f5c0a0181
spydefi-paid-user-tools/what-is-spydefi-pro-filters	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FGjhXKrEwQa3cDGPHxJAo_2Fphoto_2025-10-03_2013.27.33.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FGjhXKrEwQa3cDGPHxJAo%2Fphoto_2025-10-03%2013.27.33.jpeg?alt=media&token=29e20982-0817-44c3-ab59-453ebc9eb929
spydefi-paid-user-tools/what-is-spydefi-pro-filters	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FyHeoejielqbcYMiTF6X3_2Fphoto_2025-10-03_2013.27.42.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FyHeoejielqbcYMiTF6X3%2Fphoto_2025-10-03%2013.27.42.jpeg?alt=media&token=5ae6dd0e-3061-4a26-8281-04124fb6eadb
spydefi-paid-user-tools/maestro-auto-trader	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FuASI3IlCHBtLYt6Qfg2m_2Fphoto_2025-10-03_2014.16.55.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FuASI3IlCHBtLYt6Qfg2m%2Fphoto_2025-10-03%2014.16.55.jpeg?alt=media&token=1f45b317-8333-4bce-8521-b3e69d459cb7
spydefi-paid-user-tools/spydefi-premium	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2F4sZGM6GH1MefkRjhWfRL_2Fphoto_2025-10-03_2014.30.10.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2F4sZGM6GH1MefkRjhWfRL%2Fphoto_2025-10-03%2014.30.10.jpeg?alt=media&token=88237bce-d51d-4a68-b5d9-e1c923ccc050
spydefi-paid-user-tools/spydefi-premium	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2Fq6smsLhsl0Va6gFQ4PpG_2Fphoto_2025-10-03_2014.30.19.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2Fq6smsLhsl0Va6gFQ4PpG%2Fphoto_2025-10-03%2014.30.19.jpeg?alt=media&token=77643748-80b4-4ca8-ba32-995cb52cb40b
spydefi-paid-user-tools/spydefi-live	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FdATViCSOoEHa2Wk3yYCZ_2Fphoto_2025-10-03_2014.31.40.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FdATViCSOoEHa2Wk3yYCZ%2Fphoto_2025-10-03%2014.31.40.jpeg?alt=media&token=e5d59f38-4767-4a91-9504-87c1081dc938
spydefi-paid-user-tools/spydefi-live	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FgfJiOri74pt71KP0tx53_2Fphoto_2025-10-03_2014.31.43.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FgfJiOri74pt71KP0tx53%2Fphoto_2025-10-03%2014.31.43.jpeg?alt=media&token=b391bb1b-0a8f-4cd4-827f-12fb6dc5070e
spydefi-for-kols/achievements-system	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FwGUeGEOYf52GRV6Ba5qo_2Fphoto_2025-10-03_2014.40.49.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FwGUeGEOYf52GRV6Ba5qo%2Fphoto_2025-10-03%2014.40.49.jpeg?alt=media&token=2095096d-97d3-4089-b7c4-64f7aaf7f296
spydefi-for-kols/achievements-system	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FIxjDHq5Yoq9Fqqh6ryhL_2Fx2.png	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FIxjDHq5Yoq9Fqqh6ryhL%2Fx2.png?alt=media&token=5e4714bc-ee8b-4fab-a96c-ea1fc6a37043
spydefi-for-kols/spydefi-kol-bot	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FBdJRwGmcjSp2ONzYfrKK_2Fphoto_2025-10-03_2014.42.00.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FBdJRwGmcjSp2ONzYfrKK%2Fphoto_2025-10-03%2014.42.00.jpeg?alt=media&token=69ecc653-c868-401d-af0f-f71a2f22cac3
spydefi-for-kols/spydefi-kol-bot/kol-club	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FMf5gQ7gMFkrn5G2a5QFC_2Fphoto_2025-10-03_2014.45.24.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FMf5gQ7gMFkrn5G2a5QFC%2Fphoto_2025-10-03%2014.45.24.jpeg?alt=media&token=0725006c-5705-4730-a6ca-84f3478dbdc8
spydefi-for-kols/spydefi-kol-bot/kol-club	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FcmyUPAVZbDtQFwWYhYpA_2Fphoto_2025-10-03_2014.45.30.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FcmyUPAVZbDtQFwWYhYpA%2Fphoto_2025-10-03%2014.45.30.jpeg?alt=media&token=cf44896d-c55c-4977-a3d1-f61b1d3b6a00
spydefi-for-kols/spydefi-kol-bot/spydefi-notify	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FUbGrEX4SLQQLgBCNYbJ1_2Fphoto_2025-10-03_2014.48.37.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FUbGrEX4SLQQLgBCNYbJ1%2Fphoto_2025-10-03%2014.48.37.jpeg?alt=media&token=d043b25b-1b0c-4460-9710-5cc9d58799ac
spydefi-for-kols/kol-statistics	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FtwjZnh6P8AljDc2x4Hnt_2Fphoto_2025-10-03_2014.53.25.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FtwjZnh6P8AljDc2x4Hnt%2Fphoto_2025-10-03%2014.53.25.jpeg?alt=media&token=0685db70-4e5e-4860-9099-a193c0dd4f4b
spydefi-for-kols/spydefi-verify	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FxEsEwcxLvaI8ruVLxkg7_2Fphoto_2025-10-03_2014.56.23.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FxEsEwcxLvaI8ruVLxkg7%2Fphoto_2025-10-03%2014.56.23.jpeg?alt=media&token=9af69af9-9b4f-4344-b3d3-e542e3065f78
spydefi-for-kols/spydefi-verify	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2Fp05M0tGL6YS2Eo4KCnaX_2Fphoto_2025-10-03_2014.56.31.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2Fp05M0tGL6YS2Eo4KCnaX%2Fphoto_2025-10-03%2014.56.31.jpeg?alt=media&token=bc7501fa-0238-4ed7-beea-f0e91c0d72f9
spydefi-for-kols/calls-of-the-week	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2F5HqLd4XHCMpeDi7I9FXu_2Fphoto_2025-10-03_2014.58.42.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2F5HqLd4XHCMpeDi7I9FXu%2Fphoto_2025-10-03%2014.58.42.jpeg?alt=media&token=ba947062-442f-4c36-a599-e262f1783599
spydefi-for-kols/calls-of-the-week	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FXINoi7OOM9NlhDLVrqbk_2Fphoto_2025-10-03_2014.58.47.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FXINoi7OOM9NlhDLVrqbk%2Fphoto_2025-10-03%2014.58.47.jpeg?alt=media&token=18522111-95fb-40e7-a25c-9cd5764fdb58
spydefi-for-kols/spydefi-moments	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2F5WrwMJaI5eTg66u027md_2Fphoto_2025-10-03_2015.00.32.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2F5WrwMJaI5eTg66u027md%2Fphoto_2025-10-03%2015.00.32.jpeg?alt=media&token=999f2179-77f4-4626-a02d-8dcf176303a0
spydefi-for-kols/spydefi-moments	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2F6SwN2LGuZVa6eFKwmciv_2Fphoto_2025-10-03_2015.00.36.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2F6SwN2LGuZVa6eFKwmciv%2Fphoto_2025-10-03%2015.00.36.jpeg?alt=media&token=c041e54e-9d72-44dc-9b8c-473d596b99c7
spydefi-for-kols/check-project-calls	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FyvCHJBPtKq6iDBXixvqf_2Fphoto_2025-10-03_2015.10.47.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FyvCHJBPtKq6iDBXixvqf%2Fphoto_2025-10-03%2015.10.47.jpeg?alt=media&token=2ab715ce-8ab2-4ab6-807e-70b99c505540
spydefi-for-kols/how-to-list-a-channel	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FKng1FsOUdhuhYAHWnRgK_2Fphoto_2025-10-03_2015.19.16.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FKng1FsOUdhuhYAHWnRgK%2Fphoto_2025-10-03%2015.19.16.jpeg?alt=media&token=1f65a96b-4bbf-4790-9fde-104f1d76d1a5
help/support	spaces_2FhFg2EgW1YPo41SFiTbUM_2Fuploads_2FRi8zsPpadqx1mO2PRHpp_2Fphoto_2025-10-03_2015.28.08.jpeg	https://3632174550-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FhFg2EgW1YPo41SFiTbUM%2Fuploads%2FRi8zsPpadqx1mO2PRHpp%2Fphoto_2025-10-03%2015.28.08.jpeg?alt=media&token=5fa3e75f-fb8a-48d6-ade7-0212c44316fe
